TIPLOC,Geography Description
CARLWAT,Watt J & W
01/03/2024 00:00,Margate Signal Ek5124
01/03/2005 00:00,Margate Signal Ek5105
MSTOWCS,Maidstone West Carriage Sg
GLNG26,Gillingham (Kent) Sig 26
BLF4408,Blackfriars Jn Tvs4408
EBOU501,Eastbourne Signal Eb501
HORS401,Crown Street Junction
HORSMS,Horsham Down Sidings South
HORSBS,Horsham Down Sidings North
BRC4449,Bricklayers Arms Jn Tl4449
WDON101,Wimbledon Signal W1101
STWTUPL,Stewarts Lane Dpt Up Loop
REIGCHS,Reigate  Br Carriage Sidings
LTLHMJN,Littlehampton Junction
FLKLJN,Falkland Jn
STER10,St Erth Signal Se10
ST BZPM,Ecc Pontsmill
TAUN619,Taunton Signal E619
YOVIJDS,Yeovil Jn Dn Sdgs 1&2
AVONILS,Avonmouth Enterprise
WSTLGBR,Westerleigh Puma Gbrf
PILNDGL,Down Pilning Loop
SWANFMC,Ford Motor Co
GVND565,Grovesend Sig Pt565
ABTHCFH,Aberthaw Ps Crip Sdg Fhh
BRYDDCO,Dow Corning
CARDDKS,Abp (Non Shipment)
NWPRTAB,Abp (Non Shipment)
NWPTGRD,Newport Godfrey Road Cs&Te
NWPTCE,Newport Godfrey Road Ce Siding
LYDN415,Lydney Signal 415
THEARCP,Theale Reception Sdgs
REDGGPK,Reading Green Park
REDGDMU,.
MDNHDRS,Maidenhead Reversing Sdgs
MDNHDCS,Maidenhead Carriage Sdgs
MOSEPDS,Mossend Pd Sterling Gbrf
MOSELDB,Mossend Yard Lhs (Dbc)
ACTONFY,Foster Yeoman
COATSNK,Coatbridge Flt Shunt Neck
NEILTBS,Neilston Turnback Siding
CMND610,Camden 610 Sig
STNBS32,Stonebridge Park Sig Ws32
ELDRDBS,Elderslie (Dbc)
AMNG488,Amington Jn Sig Nl5488
STRBNJN,Stourbridge North Jn
SNDW363,Sandwell & Dudley Sig Ns363
MADE491,Madeley Jn (Salop) Sig 491
CWLR604,Cowlairs Signal Ce604
CWLRDS,Cowlairs Down Sidings
CRKLWRL,Cricklewood Wash Line
WLNGUPX,Wellingborough Up Tc Exit
DRBYSMS,St.Mary'S South Junction
DRBYSMN,St.Mary'S North Junction
EPS5477,Etches Park Signal Ec5477
EPS5483,Etches Park Loco Sidings
EPS5481,Etches Park Stabling Sdgs
DRBYRTN,Derby R.T.C.Sidings North
DRBYWWJ,Derby Way & Works Junction
CATZ007,Wirksworth
BESTHST,Beeston Headshunt
BESTRR,Beeston Run Round
BEST918,Beeston Sig Tn4918
HRNS176,Hornsey Emud Signal Hy176
BOWERRL,Bowes Park Reversing Sdg
HERT927,Hertford North Gpl Wl1927
PURJUR,Purfleet Jurgens Lc
PURWWLC,Purfleet Deep Water Wharf Lc
ALDB337,Aldersbrook Signal 337/354
HWCHPWD,Powell Duffryn
IPSWCCS,Carriage Stabling & Servicing
WYMN878,Wymondham Co878
WYMN877,Wymondham Co877
MLRHS14,Millerhill Sig Em14
FOXTBRR,Barrington Run Round
PBRO458,Spital South Junction P458
HAYM911,Sig 911 Haymarket
GRSTNGF,Garston Ground Frame
LVRPLCS,Crown Street Junction
WARRMGC,Warrington Dallam Lane
EWSFT,Warrington Freight Depot
HNDLGBR,Dowlow Hindlow Gbrf
TUNSFFL,Tunstead Fuel Point (Flhh)
GTRCDFL,Great Rocks Dogs Home Flhh
MCRTPCS,Cerestar
CSTLDGL,Down Goods Loop
ARBRUSS,Arbroath Up South Siding
ARBRUNS,Arbroath Up North Siding
MONT1SD,Montrose No1 Through Sdg
KIRKMWJ,Kirkham West Jn
BLCKDRJ,Devonshire Road Jn
DNNG605,Dinnington Sig Wp605
KKSNJN,Kirk Sandall Jn
IMMDGBR,Immingham Mineral Quay Gbrf
BROUCCL,Crabley Creek
HDRS412,Huddersfield Hu1412
WKK1209,Wakefield West Sig K1209
WKK1211,Wakefield West Signal K1211
CAS5209,Castleford Signal Cd5209
YORKOTM,York Skelton Otm Sidings
STDI,Stadium
MLLF,Millfield
PALL,Pallion
HLTWWLG,Haltwhistle West Lodge Lc
NWCS042,Newcastle Signal T6042
OXEN45,Oxenholme Signal Ce45
RYLSQRY,Rylstone
SKPT031,Skipton Sth Jn Sig L4031
SKPT549,Skipton Sth Jn Sig L4549
HELWTHB,Helwith Bridge
ARCQGF,Arcow Quarry Gf
ARCQGBF,Arcow Quarry Gbrf
RIBLHVD,Ribblehead Viaduct
MALRSTG,Mallerstang
KSTP9,Kirkby Stephen Ks9
KSTPURS,Kirkby Stephen Urs
ORMMSID,Ormside
NWBIDRS,New Biggin
SHAPHQJ,Shap Hardendale Quarry Jn
HRDQGBF,Hardendale Quarry Gbrf
SHAPHNQ,Shap Harrisons Quarry Gbrf
SHAP148,Shap Sig Ce148
HRDQFHH,Hardendale Qry Shap (Fhh)
CARLNEC,Carlisle Shunt Neck
KGMRDD1,Carlisle Kingmoor Dd1 Sb
CARLYDL,Carlisle Yard Lhs
CARL335,Carlisle Ce 335 Signal
KGMRUD1,Carlisle Kingmoor Sig Ud1
KGMR482,Carlisle Kingmoor Sig 482
KGMR481,Carlisle Kingmoor Sig 481
KGMRDDS,Kingmoor Yard Down Depart
CARLHWS,Carlisle High Wapping Sdgs
KIJFOEK,Kijfhoek Yard
CARLCLR,Carlisle Brunthill Colas Rail
LNGTGBF,Longtown Mod Gbrf
TILBURG,Tilburg Works
ERIGCRO,Eastriggs Crossover
RTHQJAM,Tops Training 5
RTHQGAW,Tops Training 4
RTHQBRI,Tops Training 3
RTHQKIN,Tops Training 2
RTHQIAN,Tops Training 1
DOLMCR,Dollands Moor Colas Rail
DOLMGBF,Dollands Moor (Gbrf)
EURODS,Eurotunnel Diesel Shed
EUROHS,Eurotunnel Depot Headshunt
EBSFLTI,Ebbsfleet
EBSFDOM,Ebbsfleet International
SWELLUS,Shepherds Well Up Siding
SPH4459,Shepherds Well Sig Ek4459
CBE4415,Canterbury E Signal Ek4415
FAV5062,Faversham Signal Ek5062
FAV5060,Faversham Signal Ek5060
CNTBE24,Canterbury East Signal Cb24
FAV4352,Fv Ek4352 Sig Faversham
FAV4327,Fv Ek4327 Sig Faversham
FAVR34,Faversham Shunt Signal 34
CNTBEES,Canterbury East Engnrs Sdg
HRNEBLX,Herne Bay London End Xover
HNB5077,Herne Bay Signal Ek5077
RAMSNEW,Ramsgate New Sidings
HOTH343,Hothfield Signal Me343
ASHF661,Ashford Signal 661
RAMMKEX,Rm Mk Ext Margate End
RAMMIEX,Rm Mi Ext Minster End
RAMSDRW,Rm Drw Ramsgate Dept Recp West
RAMSDWS,Rm Dws Ramsgate Dept Wash Spur
RAMSUSW,Ramsgate Up Siding West
RAM5145,Rm Ek5145 Ramsgate
RAM5143,Rm Ek5143 Ramsgate
RAM4985,Rm Ek4985 Ramsgate
RAM4981,Rm Ek4981 Ramsgate
CNTBW25,Canterbury West Shnt Sg 25
CNTBWGL,Canterbury West Up Siding
CNTBW1,Canterbury West Shunt Sg 1
RYEE4,Rye Signal Ry4
RYEE27,Rye Signal Ry27
ASHFAJN,Ashford A Junction
ASHFKCY,Ashford Dn Yd Cntb End
BORW303,Borough Green Signal Me303
ASHF119,Ashford Signal Ad2119
ASHFDYW,Ashford Down Yd Washer Rd
BATT2XO,Battle No 2 Xover
WADH3XO,Wadhurst No 3 Xover
RBRT2XO,Robertsbridge No 2 Xover
WADH425,Wadhurst Sig Pe425
TUNWTB,Tunbridge Wells Turnback
TONB032,Tonbridge Signal Ad2032
SVNOGUS,Sevenoaks Gusset Siding
SVN2035,Sevenoaks Sig 2035
SVN2037,Sevenoaks Sig 2037
TONB137,Tonbridge Signal Ad137X
PKWD086,Paddock Wood Sig 2086
PKWD071,Paddock Wood Signal Ad2071
EPCKHMR,East Peckham Reverse
MSTO9,Maidstone East Signal Me9
MSTOWUS,Maidstone West Up Sidings
MSTOW57,Maidstone West Signal Ms57
ALLGREV,Allington A.R.C. Reverse
STNG222,Sittingbourne Signal 4222
STNG207,Sittingbourne Signal 4207
STNG220,Sittingbourne Signal 4220
STNGDCS,Sittingbourne Dn Carr Sdgs
STNGV31,Sittingbourne Sig Ev31
STNG33,Sittingbourne Signal Ev33
SHRNGBR,Sheerness Steel Gbrf
STNG46,Sittingbourne Signal Ev46
RAINH57,Rainham Signal Ek4157
RAINHEJ,Rainham East Junction
RCHTULS,Rochester Up Layby Sdgs
RCHTDL,Rochester Down Loop
STRO628,Strood Shunt Signal Nk1628
STRO625,Strood Shunt Signal Nk1625
STRO630,Strood Shunt Signal Nk1630
HOOJ620,Hoo Junction Signal Nk1620
HOOJLHS,Hoo Junction Fuel Point
GRVS604,Gravesend Signal Nk1604
GRVS601,Gravesend Signal Nk1601
NRTHFHH,Northfleet Lafarge (Fhh)
NRTHFTJ,Northfleet Junction
NRTHFTL,Northfleet Lafarge
ABWDXRS,Abbey Wood Crossrail Sdg
ABWDXR,Abbey Wood (Crossrail)
ABWDARJ,Alsike Road Junction
ABWDER,Abbey Wood Engineering Rd
BICK626,Bickley Signal Vs626
PLMSXCR,Plumstead Cs
PLMSRS,Plumstead Rev Sdg
PLMSEJ,Plumstead East Jn
WOLWXR,Woolwich Xrail
BICK35,Bickley Jnc Signal Ad35
SIDC538,Sidcup Signal Nk1538
SOLE013,Sole Street Signal 4013
ANGRGBR,Angerstein Wharf Gbrf
SWLY636,Swanley Signal Vs636
PLMS506,Plumstead Signal Nk1506
CRLNXOV,Charlton C & P Xover
CRLNJN,Charlton Junction
CHSL22,Up Chatham Loop Sig Ad22
SWLY638,Swanley Signal Vs638
GRVPDLE,Grove Park Dpt Lndn Ed Ext
GRVPULE,Grove Park Up Sg Ln Ed Ext
SLADGEH,Slade Green Dpt East Hshnt
GRVPDCE,Grove Park Dpt Ctry Ed Ext
BROM617,Bromley South Signal Vs617
CRFD542,Crayford Signal Nk1542
SWLY631,Swanley Signal Vs631
GRVPUHS,Grove Park Up Headshunt
SLADGD,Slade Green Dep London End
GRVPUCE,Grove Park Up Sg Cn Ed Ext
SWKBDGJ,Southwark Bridge Junction
BRNH532,Barnehurst Signal Nk1532
NWCRELL,New Cross Ell
ORPN009,Orpington Shunt Sig 2009
LEWIVLJ,Lewisham Vale Junction
LEEELPJ,Lee Loop Junction
ORPN011,Orpington Signal 2011
EWERSTJ,Ewer Street Junction
GRVP315,Grove Park Signal L1315
NWCGBRF,New Cumnock (Gbrf)
GRNBGBF,Greenburn Gbrf
BCKN607,Beckenham Jn Signal Vs607
LDYWJN,Ladywell Junction
KNOK15,Knockshinnoch Sig Nc15
GRNBFHH,Greenburn
STLNCET,St Leonards Cet Point
BEXHGF,Bexhill Ground Frame
BEXH14,Bexhill Shunt Signal 1435
HMP1380,Hampden Park Sig Teb1380
POLG373,Polegate Shunt Sig. 1373
NEWHVNY,Newhaven Town Yard
NEWHGBR,Newhaven Day Aggs Gbrf
ANGMGF,Angmering Ground Frame
HORS140,Horsham T1401
HORS837,Horsham T837
HORSTLS,Horsham Thameslink Sidings
CRAWGBR,Crawley New Yard (Gbrf)
BRGHEDS,Brighton Engrs Depot Sdgs
BILS143,Billingshurst Sig T1430
HORS417,Horsham Signal 1417
BRGH277,Brighton Signal T1277
HYWR226,Haywards Heath Sig 1226
HYWR225,Haywards Heath Sig 1225
THBD98,Tilgate Sidings Sig Td98
THBDTGE,Tilgate Sdgs Entry/Exit
THBD165,3 Bridges Up Dep Sig Td165
HORS201,Horsham 2001 Points
HORSGBR,Horsham Up Tc Gbrf
HORS410,Horsham Signal 1410
THBDTGS,Three Bridges Tilgate Sdgs
BILS862,Billingshurst Sig T862
THBD200,Three Bridges Signal T1200
GTWK165,Gatwick Airport Sig. T1165
THBD288,Three Bridges Signal T288
THBDUTE,Three Bridges Up Tld Nx
THBDNCS,3Bdgs Down Thameslink Sdgs
GTWK168,Gatwick Airport Sig. T1168
THBDUTD,Three Bridges Tl Up Depot
THBD127,3 Bridges Dn Dep Sig Td127
THBDDTE,3Bdgs Dn Tl Sdg Entry/Exit
GTWK237,Gatwick Airport Sig. T237
ARUN50,Arundel Shunt Sig.50
PURLSGB,Purley Down Siding Gbrf
PURLGBR,Purley Yard Gbrf
OXTE301,Oxted Signal 301
WLDNGF,Woldingham Ground Frame
CATE361,Caterham Signal T1361
ECRO082,East Croydon 1082
DORK35,Dorking Sig Cbk35
DORK33,Dorking Sig Cbk33
EPSM181,Epsom Sig W1181
SLHRT76,Selhurst Depot Sig T76
SLHRT68,Selhurst Depot Sig T68
SLHRTS4,Selhurst Depot Sig S4
WCROYTB,West Croydon Turnback
WCRO048,West Croydon Signal T1048
SLHRTS2,Selhurst Depot Sig S2
SLHRSTF,Selhurst Depot Field Sdgs
SELH051,Selhurst Shunt Signal 1051
WNORWDJ,West Norwood Junction
CRYS170,Crystal Palace Vc170
STRETJN,Streatham Junction
NEWXGTE,New Cross Gate London
NEWXGEL,New Cross Gate Station Ell
NEWX584,New Cross Gate Sig L1584
NEWXUCS,New Cross Up Sussex Loop
OLDKRDJ,Old Kent Road Junction
NEWX573,New Cross Gate Sig L1573
ELLBSTH,Ell Boundary South
ELLBNTH,Ell Boundary North
LNDNASJ,Abbey Street Junction
LNDNBCJ,Brunswick Court Junction
NEWX296,New Cross Gate Sig El296
NEWXNJN,New Cross Gate North Jn
EPCKGBF,East Peckham Tip Gbrf
NEWXMDP,New Cross Gate Mtnce Depot
NEWXDHS,New Cross Gate Dpt Hdshunt
NEWXCSD,New Cross Gate C.S.D
NEWXDWR,New Cross Gate Dpt Wash Rd
EHBJN,Engine House Bridge Jn
ROLTSTJ,Rolt Street Junction
CRBTLNJ,Corbetts Lane Junction
CANALJ,Canal Junction
SURRCNJ,Surrey Canal Junction
SURCNRD,Surrey Canal Road
SURRQSS,Silwood Stabling Sidings
SURRQSJ,Surrey Quays Silwood Jn
SURREYQ,Surrey Quays
CNDAXO,Canada Water Crossover
CNDAW,Canada Water
RTHERHI,Rotherhithe
SHLIERG,St Helier Ground Frame
STWTFHH,Stewarts Lane Tarmac Fhh
CLPH143,Clapham Junction Sig Vc143
WNDS84,Wandsworth Road Sig Vs84
STWTGBR,Stewarts Lane Tarmac Gbrf
STWT569,Stewarts Lane Sig Vs569
STWT567,Stewarts Lane Sig Vs567
CLPH141,Clapham Jn Signal 141
WATR912,Waterloo Signal W912
WDONPDS,Wimbledon Park Depot Sdgs
WDON105,Wimbledon Signal W1105
HERN595,Herne Hill Signal Vs595
HERNHSD,Herne Hill Siding
QTRD927,Queenstown Road Sig W927
CLPHMYS,Clapham Yard Sidings
CLPHMMS,Clapham Jn Middle Sdg
CLPH041,Clapham Jn Sig W1041
GNRS51,Gunnersbury Signal Gb51
VICTGCS,Victoria Grosvenor Shed
VICT808,Victoria Signal Vs808
VICTGEE,Victoria Grosvenor Entry-Exit
VICT45,Victoria Signal Vs45
VICT47,Victoria Signal Vs47
STRW91,Strawberry Hill Sig. F91
MANSNHS,Mansion House Lt
SHCK413,Shacklegate Jn Signal F413
FULW417,Fulwell Signal F417
FELT453,Feltham Signal F453
SHCK414,Shacklegate Jn Signal F414
LILBDGE,Lillie Bridge Depot Lul
KILM86,Kilmarnock Sig K86
ALDGEST,Aldgate East Lt
KILM72,Kilmarnock Sig K72
ASCO504,Ascot Signal F504
CMBL4,Camberley Shunt Signal 4
ASCO506,Ascot Signal F506
REIG17,Reigate Shunt Signal R17
BRACETC,Bracknell Emergency T Xover
STAI467,Staines Signal F467
SHAL341,Shalford Gd1341
GUIL826,Guildford Signal 826
ASHV408,Ash Vale Signal Wk408
ALDR378,Aldershot Signal Wk1378
ALDR371,Aldershot Signal Wk1371
FARN445,Farnham Signal Wk445
FARN438,Farnham Signal Wk438
HLBNSDG,Holybourne Oil Sdgs (Gbrf)
HLBN402,Holybourne O T Sig Fn402
FARNEMU,Farnham Carr Svcg
FARN383,Farnham 1383
WEYMJUB,Weymouth Jubilee Sdg
WOOLS1,Wool Signal S1
DRCHGBR,Dorchester South Sdg Gbr
WOOLGBR,Wool Mod Siding Gbrf
SWNLMD,Swanage Lmd (Gbrf)
WOOL659,Wool Signal Pw5659
WOOL264,Wool Signal Pw5264
WOOL255,Wool Signal Pw5255
WARH242,Wareham Signal Pw5242
POOL200,Poole Signal Pw5200
POOL210,Poole Signal Pw5210
BOMOHAP,Bournemouth Hurn Airport
MCHWGBF,Marchwood Mod Gbrf
MCHWSMC,Marchwood Smc Rp
TOTTYFL,Totton Yard (Fl)
TOTTDCR,Totton C&W Repair Roads
TOTTGBR,Totton Yard Gbrf
REDBJN,Redbridge Junction
KILCGBF,Killoch Colliery Gbrf
MBRKGBR,Millbrook Hants Flt Gbrf
MBRK955,Millbrook Sig E955
MBRK942,Millbrook Sig E942
NTHMFL,Southampton Up Yard (Fl)
LTLH11,Littlehampton Signal Lh11
BRHM115,Barnham Signal Bh115
BOGN13,Bognor Regis Signal Br13
GIRV26,Girvan Signal Gv26
CHMSFHH,Chalmerston
HAVA500,Havant Signal 500
PSEA573,Portsmth & S'Sea Sig Ht573
FRAT460,Fratton Signal 460
PSEA571,Portsmth & S'Sea Sig Ht571
PHBR61,Portsmouth Hbr Sig Ht61
RYDE32,Ryde Esplanade Sig. 32
FARE825,Fareham Signal E825
NETLETC,Netley Emergency Tlg Xover
AYRR859,Ayr Sig 859
LUDGGBF,Ludgershall Mod Gbrf
ELGH372,Elgh372
ELGH243,Eastleigh Depot Signal 243
ELGH241,Eastleigh Depot Signal 241
ELGH245,Eastleigh Dep Ent/Ext Sig
ELGH85,Eastleigh Signal E85
WNCF102,Sig Be5102 Winchfield
MCHL125,Micheldever Signal Eh125
WILT7,Wilton Junction Signal Sy7
ANDOLSB,Ludgershall Branch Stop Board
WILTSTH,Wilton South
SLSBWCS,West End
ANDOYD,Andover Yard
ELGH225,Eastleigh Signal E225
WNCF103,Winchfield Signal Be5103
ANDO202,Andover Shunt Sig Be5202
WOKI218,Woking Signal Wk1218
FLKLDFT,Falkland Freight Terminal
WOKI208,Woking Signal Wk1208
WOKI212,Woking Signal Wk1212
WOK1220,Woking Sig Wk1220
WOKI220,Woking Signal Wk 1220
PENZS28,Penzance Signal 28
PENZS26,Penzance Signal 26
PENZS24,Penzance Signal 24
PENZS3,Penzance Signal 3
STER56,St Erth Signal 56
TRUR14,Truro Signal 14
TRUR37,Truro Shunt Signal 37
BGLW203,Burngullow Shunt Sig P203
PWCKBPC,Bp Oil Prestwick (Colas)
PARRCHS,Par Chapel Siding
PARR7,Par Sig Pr7
PARRDGL,Par Down Goods Loop
LSTW4,Lostwithiel Signal 4
LISK9,Liskeard Sig 9
COOMTCR,Moorswater Tarmac Colas
STBDGBF,Ernsettle Mod Gbrf
KEYH127,Keyham Sig P127
IRVNGBR,Irvine Caledonian Paper Gb
PLYM131,Plymouth Ground Signal 131
PLYM124,Plymouth Ground Posn Sig 124
PLYM120,Plymouth Ground Posn Sig 120
BARA275,Barassie Jn Signal 275
TVSTJPD,Tavistock Jn Plant Depot
BARAGBR,Barassie Yard Gbrf
BARAYRD,Barassie Flhh Sdgs 3 & 4
IRVN801,Irvine Sig 801
PAIG3,Paignton Signal 3
GOODSND,Goodrington Sands (T&D Rly)
TIGNGRC,Teigngrace
NABTWJ,Newton Abbot West Junction
HTHFLD,Heathfield Platform
EXETEXM,Exminster
MSBTN,Marsh Barton
EXETGBR,Exeter Alphington Road Gbrf
NWCOURT,Newcourt
HONI2,Honiton Signal No H2
HONI808,Honiton Signal 4808
AXMNSEJ,Axminster East Junction
AXMNSWJ,Axminster West Junction
HONI803,Honiton Sig 4803
CBRK,Cranbrook
EXETCCE,Ce Siding
EXET730,Exeter Sig 730
EXET679,Exeter Sig 679
EXET677,Exeter St Davids Sig E677
EXET335,Exeter St Davids Signal E335
EXET681,Exeter Sig. 681
EXET664,Exeter St Davids Sig 664
EXETOY,Exeter Old Yd-Waggonersway
COLFORD,Coleford (Nr/Dr Boundary)
TIVICMT,Cullompton
BSPSGBR,Bishops Lydeard Gbrf
TAUN608,Taunton Sig 608
TAUN604,Taunton Sig. 604
YOVI723,Yeovil Junc Signal 4723
YOVI721,Yeovil Junc Signal 4721
YOVI753,Yeovil Junc Signal 4753
GLHM677,Gillingham Signal 4677
GLHM680,Gillingham Signal 4680
CCAR782,Castle Cary Signal W782
MERHTMD,Merehead Tmd
WHATTMD,Whatley Tmd
WHATGBF,Whatley Quarry Gbrf
WRMNGBF,Warminister Mod Gbrf
WSTB722,Westbury Ground Signal 722
WSTB707,Westbury Ground Signal 707
WSTB753,Westbury Ground Signal 753
WSTG732,Westbury Ground Pos W732
WSTBDHS,Westbury Down Tc Headshunt
WSTBDTS,Westbury Dn Trowbridge Sdg
WSTBTCR,Westbury Tarmac Colas Rail
HNTRGBF,Hunterston (Gbrf)
BRDG80,Bridgwater Signal 80
YATTGF,Yatton Ground Frame
BRSTFLT,Bristol Freightliner Depot
PTBRATG,Portbury Auto Terminal Gbf
PTBRGBR,Portbury Coal Terminal Gbr
PTBRGBF,Portbury Biomass Gbrf
PTBRLAS,Portbury Coal Terminal (Colas)
PTBRAUT,Portbury Automotive Tml (Flhh)
ASHJGAT,Bristol Ashton Gate
PARSNSJ,Parson Street Junction
BRSTMD,Plymouth Surplus
BRSTHLS,Bristol High Level Siding
BRSTSPU,Bristol Loco Spur
BRSTMJG,Bristol Marsh Jn Up Gf
MARSHJS,Marsh Jn Sidings
BRSTMJD,Bristol Marsh Jn Depot
BRSS175,Bath Goods Sig. B175
BRSTLBH,Bristol Barton Hill Dbc
BRSTBRT,Bristol Barton Hill Flinerhh
BRSS533,Bristol Tm Sig 533
STPLNAR,Narroways Hill Jn
BRSS356,Clifton Down Signal B356
AVON4,Avonmouth Signal Sa4
AVONNP2,Avonmouth National Pwr Silo 2
AVONCOL,Avonmouth Coal Silo (Colas)
AVONHAN,Avonmouth Hansons Siding
AVONWFH,Avonmouth West Warf (Fhh)
AVONGBR,Avonmouth West Wharf Gbrf
SVNSSIT,Severnside Sita
BRST586,Bristol Parkway Sig Bl6586
BRST602,Bristol Parkway Sig Bl6602
BRST579,Bristol Parkway Sig Bl6579
BRST052,Filton Sig Bl2052
BRST569,Bristol Parkway Sig Bl1569
HENBRY,Henbury West
PILNUGL,Up Pilning Loop
STKGIEP,Stoke Gifford Iep Depot
STKG589,Stoke Gifford Sig B589
STKGFHH,Stoke Gifford (Fhh)
BRSTPUS,Stoke Gifford Spur
BRST568,Yate Signal 6568
WHLA34,Whitland Sig W34
HAVRGBF,Haverfordwest Fd Gbrf
ROBSGBF,Robeston Sdgs Gbrf
CRST405,Carstairs Sig Mc405
CRST436,Carstairs Sig Mc436
FGDHGWK,Fishguard And Goodwick
BEATUPS,Beattock Up Sidings
COVELC,Cove Level Crossing
TONDGAR,Tondu Garw Loop
TONDLFL,Tondu Llynfi Goods Loop
THYMGBR,Thorney Mill Gbrf
BRGEFRS,Bridgend Ford Repair Sdgs
STORUGL,Stormy Up Goods Loop
STORDGL,Stormy Down Goods Loop
MRGKYRG,Margam Knuckle Yard (Colas)
PTLBCOL,Port Talbot Grange Sdg Col
